curso,modulo,disciplina,disciplina_nome,moodle_course_name
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,SEIOT,,Sistemas Embarcados e Iot
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,BD I,,Banco de Dados I
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,ING,,Inglês
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,PTIC,,
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,PW I,,Programação Web I
Téc Desenvolvimento de Sistemas – Noite,1º Módulo,PA,,Programação e Algoritmos
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,PAM I,,Programação Mobile
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,APS,,
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,PW II,,
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,BD II,,
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,DS I,,
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,PDS,,
Téc Desenvolvimento de Sistemas – Noite,2º Módulo,PTCC,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,DS II,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,PAM II,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,LTT,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,IP,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,DTCC,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,PW III,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,BD III,,
Téc Desenvolvimento de Sistemas – Noite,3º Módulo,SSI,,
